trigger_type,trigger_ts_ms,trigger_time_s,servo_change_time_s,servo_us_before,servo_us_after,servo_delta_us,latency_s
START_US_TURN,256724,6.023,6.1,1500.0,1900.0,400.0,0.07699999999999996
START_US_STRAIGHTEN,257726,7.025,7.025,1900.0,1100.0,-800.0,0.0
START_US_CENTER_HOLD,258563,7.862,7.862,1100.0,1500.0,400.0,0.0
START_US_TURN,270609,19.908,19.986,1500.0,1900.0,400.0,0.0779999999999994
START_US_STRAIGHTEN,271624,20.923,20.923,1900.0,1100.0,-800.0,0.0
START_US_CENTER_HOLD,272443,21.742,21.742,1100.0,1500.0,400.0,0.0
START_US_TURN,273197,22.496,22.551,1500.0,1900.0,400.0,0.054999999999999716
START_US_STRAIGHTEN,274221,23.52,23.564,1900.0,1100.0,-800.0,0.04400000000000048
START_US_CENTER_HOLD,275066,24.365,24.416,1100.0,1500.0,400.0,0.05100000000000193
